MemberCount;GroupSize;GroupOrientation;GroupArc;DistanceFromGroup;WelcomedFactor;ScenarioLength
3;0.8;-42.5;180;0.980371933;4.333333333;7.604046867
3;0.8;-25;140;1.108588533;4.3;8.916574533
3;0.8;0;140;1.154950633;4.2;7.577097367
3;0.8;-15;180;0.9932986;3.9;6.713583967
3;0.8;-30;220;0.8287014;3.733333333;7.136519967
3;0.8;-60;220;0.744002867;3.666666667;6.816700667
3;0.8;12.5;180;1.009529433;3.533333333;8.1476127
3;0.8;25;140;1.195293033;3.466666667;6.968584567
3;0.8;-70;180;0.699789133;3.466666667;8.092578533
3;0.8;-77.5;260;0.5875845;3.433333333;7.813154167
3;0.8;-50;140;0.8971145;3.4;6.722220833
3;0.8;0;220;0.951544867;3.266666667;7.845187167
3;0.8;-45;260;0.655563333;3.2;8.4109714
3;0.8;-90;220;0.614449867;3;7.9968116
3;0.8;-110;260;0.524444433;2.966666667;6.472373967
3;0.8;30;220;0.950255933;2.766666667;7.689380133
3;0.8;40;180;1.028788733;2.733333333;7.200893
3;0.8;50;140;1.0801102;2.566666667;8.415153
3;0.8;-12.5;260;0.777791467;2.5;12.2951832
3;0.8;20;260;0.7419177;2.1;6.196095467
