MemberCount;GroupSize;GroupOrientation;GroupArc;DistanceFromGroup;WelcomedFactor;ScenarioLength
3;0.8;-70;180;2.407419;5;27.56574
3;0.8;-77.5;260;2.581657;3;11.92061
3;0.8;30;220;1.79981;3;17.16709
3;0.8;-25;140;1.859274;5;5.632737
3;0.8;30;220;2.081582;2;9.66621
3;0.8;25;140;1.778255;4;6.521887
3;0.8;-42.5;180;2.079994;5;8.501954
3;0.8;-110;260;2.673435;4;6.085828
3;0.8;0;140;1.916936;4;6.465831
3;0.8;-60;220;2.537362;3;7.447501
3;0.8;-77.5;260;2.497264;4;6.873861
3;0.8;40;180;1.901217;3;9.744686
3;0.8;0;140;1.791879;4;11.83217
3;0.8;-30;220;2.139356;3;6.999248
3;0.8;-77.5;260;2.63539;3;8.767564
3;0.8;-70;180;2.523808;5;10.14452
3;0.8;-30;220;2.534069;3;6.409718
3;0.8;25;140;1.863597;2;8.898699
3;0.8;20;260;2.475768;2;6.399458
3;0.8;-15;180;2.099468;4;6.555985
3;0.8;-45;260;2.926576;2;8.132657
3;0.8;-50;140;2.184152;5;5.067902
3;0.8;-15;180;2.293968;3;11.27684
3;0.8;0;220;2.356489;3;7.955352
3;0.8;-12.5;260;2.66331;2;4.487461
3;0.8;-60;220;3.062711;4;6.289863
3;0.8;-42.5;180;2.523601;5;5.555503
3;0.8;0;140;2.06429;3;8.299623
3;0.8;12.5;180;2.183721;2;7.522426
3;0.8;50;140;1.888334;2;5.930871
3;0.8;-90;220;3.03672;4;6.022726
3;0.8;-12.5;260;2.261185;3;8.732498
3;0.8;-50;140;2.324439;5;5.711512
3;0.8;-12.5;260;2.676906;2;6.331708
3;0.8;40;180;2.607531;2;4.611878
3;0.8;-90;220;3.05109;4;5.121857
3;0.8;50;140;2.061795;3;6.655297
3;0.8;-110;260;3.144993;4;3.721408
3;0.8;-60;220;2.640098;5;5.055008
3;0.8;12.5;180;2.018655;3;9.188609
3;0.8;-45;260;2.661969;2;5.133376
3;0.8;40;180;2.299665;2;5.010251
3;0.8;50;140;2.353624;2;5.01144
3;0.8;-90;220;2.992395;5;5.477479
3;0.8;-42.5;180;2.242248;5;5.077295
3;0.8;0;220;2.834709;2;4.97585
3;0.8;-25;140;2.106395;5;4.488294
3;0.8;20;260;3.039707;1;3.7449
3;0.8;-30;220;2.950402;2;6.421745
3;0.8;-70;180;2.884984;4;4.698195
3;0.8;-50;140;2.41395;4;4.911334
3;0.8;20;260;2.885831;2;3.566351
3;0.8;12.5;180;2.591683;3;5.153525
3;0.8;-110;260;3.174895;4;5.855207
3;0.8;-25;140;2.105516;5;4.48817
3;0.8;30;220;2.944692;2;4.088937
3;0.8;25;140;2.204689;3;6.312018
3;0.8;-15;180;2.140358;3;4.352811
3;0.8;-45;260;2.81995;2;4.956872
3;0.8;0;220;2.645382;2;4.054843

