MemberCount;GroupSize;GroupOrientation;GroupArc;DistanceFromGroup;WelcomedFactor;ScenarioLength
3;1;90;360;4.661497;0;4.04175
3;1;-90;270;3.137908;0;10.28736
3;2;45;360;4.686236;0;13.75509
3;2;0;180;1.452193;5;20.75477
6;1;90;270;3.66616;0;18.87772
3;2;90;270;5.864312;0;6.378966
3;2;90;360;5.405269;0;1.564161
3;2;-45;270;4.452733;0;2.577355
6;1;90;360;4.583436;0;2.198849
6;2;0;270;2.416679;4;9.648678
3;2;90;180;4.713798;0;1.753163
3;1;45;360;1.569106;1;13.09434
6;1;0;180;1.94427;1;5.807446
3;1;0;270;1.843102;5;4.928612
6;2;45;180;1.439624;2;7.637317
3;1;-45;360;2.623891;3;4.313473
6;2;-45;360;3.266287;1;8.665048
6;2;90;180;4.199846;0;2.930294
6;1;0;270;2.009425;5;4.556118
6;2;-45;270;3.952043;0;9.08767
6;1;-90;360;4.251832;0;1.686987
3;1;-90;180;3.345339;0;1.580203
6;2;-45;180;2.747938;1;25.17647
3;1;0;360;2.302866;3;5.468044
3;1;45;270;1.631364;1;4.38015
3;2;45;270;1.682761;0;3.452683
3;2;-90;360;4.302402;0;1.566169
6;1;45;360;2.951551;0;2.463552
6;1;-90;180;3.575509;0;1.99081
6;2;-90;360;3.688484;0;2.886678
3;1;45;180;1.475381;1;13.71147
6;1;-45;180;2.994377;0;23.67647
6;2;-90;270;4.061209;0;2.122144
3;2;-45;360;3.224586;1;5.177772
6;1;-90;270;1.955877;0;3.255158
3;2;-90;270;3.722892;0;4.659894
6;1;-45;270;2.344192;3;4.418753
6;1;45;180;1.127205;2;8.688108
3;1;-45;270;1.977885;2;3.897366
3;2;0;270;2.435371;4;3.777046
6;2;45;270;2.478241;1;5.188801
6;2;-90;180;1.009013;0;2.887681
6;2;0;180;1.771811;2;4.499969
3;1;-90;360;2.147094;0;1.722581
3;1;90;180;1.010704;0;3.99312
3;1;90;270;2.094185;0;1.761686
6;2;90;360;2.860492;0;1.287423
6;2;0;360;2.721978;4;11.00126
3;2;45;180;1.204645;2;5.077003
3;2;0;360;2.433094;3;4.822828
3;1;0;180;1.471085;5;6.343381
3;2;-90;180;2.270744;0;1.844406
6;1;45;270;1.582255;2;3.164927
6;2;90;270;1.198168;0;2.422944
3;2;-45;180;1.72514;0;3.585982
6;1;0;360;1.785062;5;24.37845
6;1;-45;360;2.080541;1;7.700481
6;1;90;180;1.40076;0;3.354432
3;1;-45;180;1.42246;3;4.855916
6;2;45;360;3.06096;0;3.609099

